account_age_days,email_domain_type,phone_verified,address_similarity_score,total_orders,avg_order_value,cancel_rate,order_frequency_per_month,num_categories_purchased,category_concentration_ratio,num_payment_methods,payment_failure_rate,refund_rate,same_card_diff_accounts,replacement_rate,replacement_to_order_ratio,common_return_reason,is_fake
1126,outlook,1,0.6705800508269354,20,201.09636774216267,0.2949822363875326,22.912251820560734,14,0.20219298059934265,6,0.46708820062043593,0.3194925687385687,0,0.38894521435596335,0.022072421021573075,Defective,1
1459,gmail,1,0.8943898536984908,17,834.7528781106679,0.15588752459755592,21.302388422036255,15,0.4159652473142733,10,0.39672621891550297,0.4458010227326581,0,0.20044304013862543,0.10672625380322774,Changed Mind,0
860,gmail,1,0.05717965453026652,20,930.9779629533732,0.03202651766385023,4.101118560026481,6,0.4243848427051157,6,0.5056370786410785,0.3633745336069223,0,0.027158876802401057,0.04757254753032996,Defective,1
1294,gmail,1,0.5969639657164428,28,394.5470879815666,0.1750931799769956,3.4615742140274683,7,0.9701678232963845,7,0.1757034456943524,0.20783130247164272,0,0.37140184578632596,0.013373029079363753,Other,0
1130,outlook,1,0.5690465748936742,17,1090.20579087475,0.4101757279143123,27.725801139003455,19,0.8479169741060006,2,0.331764269015351,0.09260110791408399,0,0.18324421372365568,0.14924018178686893,Defective,0
1095,outlook,1,0.03567441636053237,21,745.763079708968,0.5561009520060257,2.384134501024392,2,0.15201612046938962,8,0.5750422921647471,0.22505158298169137,0,0.3976512106590908,0.1920531577714325,Other,1
1724,tempmail,0,0.5135220769124835,14,708.4904944912232,0.15372823568023863,6.55199076938797,4,0.3570856584708483,3,0.15164912079505902,0.08349968460232093,0,0.20115701978105052,0.23497613639505494,Wrong Item,0
1044,gmail,1,0.6095203113099242,18,470.82847529976584,0.40190948820774747,13.150423078269402,20,0.2860520697205551,2,0.5422881923229322,0.05667660015230125,0,0.16761296943616535,0.3281469091785142,Changed Mind,0
1638,yahoo,1,0.19129317420210723,14,854.3221920608905,0.28694678799639495,24.630333023651893,12,0.38701234607423196,5,0.5685316936257614,0.024399583296597804,0,0.030466484792560734,0.02298735297534096,Defective,0
121,gmail,1,0.27332958312466293,21,218.90546821430354,0.37652905077641197,18.078778707955937,13,0.111803686671203,9,0.22683177193036708,0.2710776993569722,0,0.04966157063462617,0.04295227261777504,Defective,0
466,gmail,1,0.640347346297737,15,515.0523886058238,0.0009731057422646571,17.135501284607653,12,0.8038974537054557,10,0.19899676884259848,0.28310429006419413,0,0.04519862827292962,0.16098994395810837,Defective,0
1238,yahoo,1,0.46830094759995833,20,416.7091910094441,0.07359187025900228,20.75864522927153,13,0.22454749117910638,9,0.16994224205654115,0.3276562699482956,0,0.2560635611577742,0.2420095057085829,Other,0
330,gmail,1,0.8580136575683268,20,272.76681246315314,0.13021267429449915,24.064756169575894,15,0.2824533324714782,4,0.5056451397470332,0.44339372426900864,0,0.21264852856975694,0.08492180294947956,Wrong Item,1
1482,gmail,1,0.34238176600918835,23,815.7468638289141,0.5360707162783676,6.975674511203076,15,0.6904725150954398,3,0.41023511821396624,0.4564808371517212,0,0.39438041069230545,0.08410473732045493,Changed Mind,1
87,outlook,1,0.26665965838820116,28,685.2846191477247,0.024316591965288015,0.5670414892741038,14,0.6673905038152693,4,0.12562297108580725,0.17038106933917058,0,0.17368652655114372,0.012882724096190535,Other,0
1396,yahoo,1,0.9848659403448428,19,801.1728762985394,0.34178031760864636,3.815915255998703,3,0.8435321528209881,5,0.5130548319580385,0.3180979185859934,0,0.06361578085641138,0.23219497169969552,Other,0
1123,gmail,0,0.9111357701300834,19,530.4249977691201,0.557183590099568,4.954918905176627,8,0.22337665657521,7,0.1148966283135371,0.23106437388182954,0,0.11316271545519606,0.22513283009041174,Changed Mind,0
871,yahoo,0,0.028992744998979858,23,846.2698879932706,0.3912419507227701,1.2006911464327363,12,0.2980728627314525,8,0.2938711195638222,0.37634878995902243,0,0.3205297568236157,0.20436454525468203,Wrong Item,1
1687,tempmail,1,0.7707286153065659,31,619.2854390787991,0.29064247340593236,22.425541096513452,18,0.8885952825164335,7,0.06861468094265659,0.3582288754693912,0,0.32956514861177855,0.3746878087393267,Defective,1
130,gmail,1,0.11033477382520296,18,481.963416506888,0.23159506771384097,26.547740467219892,20,0.6995218674299304,2,0.38900177512717754,0.09770082743398173,0,0.04716149307578835,0.19240547041120584,Defective,0
1685,tempmail,1,0.02748519482937095,10,440.2778086089069,0.37451710909413444,21.319495756616597,1,0.17105347548609418,8,0.39585476342969755,0.08698797651004053,0,0.39414346201115324,0.3216058288042128,Defective,1
1332,outlook,0,0.2736955159663489,20,104.27405834378249,0.28823109034102806,5.658696703349708,7,0.18458672698394513,10,0.21738708366419446,0.05708712548444145,0,0.14096204271557347,0.14956136082862553,Wrong Item,0
769,gmail,1,0.2693458790611043,25,891.0928258542342,0.4232471657177608,18.19334412782398,14,0.5800667411213235,7,0.062425286972337776,0.06142911205575624,0,0.14327508677198347,0.3059163323008858,Other,0
